coefficient,coupling_row_norm,estimate,name,reporting_multiplier,se_ambient,se_fixed_range,se_fixed_rank,sensitivity_0,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4
AK_gt2_0,6.908125655473887,0.3222369566112472,skin_baseline_K2_bcc_first_cap730.5,1.0,0.09746703931925979,0.054765125803884394,0.054765125803884394,-6.908110552669859,0.002935446856380825,-0.0017438801152169841,-0.0011186316086796678,0.0139912331509009
age10_0,0.3007180154973761,-0.049624925431094924,skin_baseline_K2_bcc_first_cap730.5,1.0,0.06425555943844063,0.06446971059414525,0.06446971059414525,-0.30049109008285274,-0.0020571130466785674,0.011483895348992216,-0.0001356029232057134,0.0005474220244164738
male_0,0.9841802182343211,0.26160297521800857,skin_baseline_K2_bcc_first_cap730.5,1.0,0.11113659221829977,0.11131137436440584,0.11131137436440584,0.9819897035419798,0.0145207150572247,0.062485414823353076,0.0011334793727749788,-0.013797140804612825
drink_gt2_0,2.4189253790659433,0.1488518203896129,skin_baseline_K2_bcc_first_cap730.5,1.0,0.07817128831858808,0.06190034116987701,0.06190034116987701,-2.4188893582339417,-0.0032207115718782143,0.008030773407862858,-0.0014278929543691862,0.009866961490801095
sundamage_gt5_0,5.127289844997614,0.03805543615476771,skin_baseline_K2_bcc_first_cap730.5,1.0,0.10850933042284679,0.08990083907724869,0.08990083907724869,5.127273702842709,0.006539827565645208,0.010622436481067378,0.0011475271677881382,-0.0029340131714701775
treatment_1,0.0982046760878629,0.2459778807823306,skin_baseline_K2_bcc_first_cap730.5,1.0,0.13020528870764167,0.13178764228344322,0.13178764228344322,-0.037561423561942885,0.08613873380919282,-0.005107418379126596,0.021815755554581033,0.01764662829989755
baseline_Se20_1,0.5907896352243324,-0.09557287183717403,skin_baseline_K2_bcc_first_cap730.5,1.0,0.036564136063538054,0.03299621313314754,0.03299621313314754,-0.014126811009730287,-0.5905074845170429,0.003548430630900079,-0.005823309600674921,-0.009339953634880917
history_none_1,1.4424581439239563,0.07876100539169763,skin_baseline_K2_bcc_first_cap730.5,1.0,0.2962822672968346,0.30040931759433864,0.30040931759433864,0.14796623102274145,-1.4342698186792786,0.0015007152970642028,0.016482601479948882,-0.03725117954144768
history_SCC_only_1,0.9866269427823935,1.0089307198483817,skin_baseline_K2_bcc_first_cap730.5,1.0,0.11032631292447022,0.1171721426540565,0.1171721426540565,0.086990647954882,-0.9822621559332966,0.0037337232071112366,-0.0004705103853741188,-0.031815819096546495
history_both_1,1.0266661522402745,0.7719077383388765,skin_baseline_K2_bcc_first_cap730.5,1.0,0.11708867141999332,0.11986218605441101,0.11986218605441101,0.06987214627562709,-1.0242664060534767,-0.0015023775057179008,0.0058916433612987845,0.0016223936993887502
AK_gt2_1,0.5170825589522935,0.5988646413033069,skin_baseline_K2_bcc_first_cap730.5,1.0,0.07664544814338942,0.07927063859906679,0.07927063859906679,-0.13209701436852922,0.49968671802109493,0.005484700568200325,0.002852403056104527,-0.0141321356263706
age10_1,0.11877291066844689,0.15662504027630225,skin_baseline_K2_bcc_first_cap730.5,1.0,0.07417600386244275,0.07426551446134663,0.07426551446134663,-0.0100965928780466,0.1178385764078875,-0.0007141641071827197,0.010868182404475336,-0.0007110639376090794
male_1,0.9031115706634165,0.5646000422836529,skin_baseline_K2_bcc_first_cap730.5,1.0,0.11244664501881607,0.10950150188636874,0.10950150188636874,-0.044259838292413006,0.900696049377231,0.004144279863707361,0.038126894748160195,-0.03045270526562736
