case,stratum,method,parameter,attempted,accepted,stratum_n,valid,covered,coverage,coverage_mcse,bias,empirical_sd,mean_se,median_se,sd_mean_se_ratio,sd_median_se_ratio
skin_reference,boundary,fixed_range,treatment_0,200,200,169,169,150,0.8875739644970414,0.024299222239488646,0.00500519629948028,0.05559889979761264,0.05173070668957234,0.05068012446179725,1.074775570557207,1.0970553128677332
skin_reference,boundary,fixed_range,treatment_1,200,200,169,169,143,0.8461538461538461,0.02775393940723923,0.01326980388660663,0.10455635314808781,0.0850871835087352,0.08408417524287923,1.2288143623575678,1.2434724232719676
skin_reference,boundary,fixed_rank,age10_0,200,200,169,169,144,0.8520710059171598,0.027309968138370503,-0.006766730559387615,0.028750250624911013,0.023995792987687954,0.02258332427624361,1.198137133440955,1.2730743389782817
skin_reference,boundary,fixed_rank,age10_1,200,200,169,169,140,0.8284023668639053,0.029002334678332256,-0.014224044969184701,0.051600420037297985,0.04547389720706527,0.04268760488004817,1.1347261441511294,1.2087916429674317
skin_reference,boundary,fixed_rank,treatment_0,200,200,169,169,150,0.8875739644970414,0.024299222239488646,0.00500519629948028,0.05559889979761264,0.05173070668957234,0.05068012446179725,1.074775570557207,1.0970553128677332
skin_reference,boundary,fixed_rank,treatment_1,200,200,169,169,143,0.8461538461538461,0.02775393940723923,0.01326980388660663,0.10455635314808781,0.0850871835087352,0.08408417524287923,1.2288143623575678,1.2434724232719676
cf_rank_one,all_accepted,ambient,FEV10_0,200,200,200,200,193,0.965,0.012995191418367032,0.0038792291502937498,0.03251093694795492,0.03234720356636212,0.0321831891129028,1.0050617476486612,1.010183820935282
cf_rank_one,all_accepted,ambient,FEV10_1,200,200,200,200,188,0.94,0.01679285562374667,-0.004487579395815507,0.0261583130119751,0.027023589032458096,0.02650544075550254,0.9679807142032943,0.9869035287234235
cf_rank_one,all_accepted,ambient,treatment_0,200,200,200,200,190,0.95,0.015411035007422448,-0.004715798529201062,0.15423565728555527,0.15857862052805546,0.15814707355837937,0.9726131856360054,0.9752672231941097
cf_rank_one,all_accepted,ambient,treatment_1,200,200,200,200,192,0.96,0.013856406460551024,-0.005394242406479946,0.12867074980746768,0.1245398318962602,0.12428191981029094,1.033169451478371,1.0353135033951522
cf_rank_one,all_accepted,fixed_range,FEV10_0,200,200,200,200,193,0.965,0.012995191418367032,0.0038792291502937498,0.03251093694795492,0.03232534266915755,0.03215871600040954,1.0057414481478784,1.0109525811770874
cf_rank_one,all_accepted,fixed_range,FEV10_1,200,200,200,200,188,0.94,0.01679285562374667,-0.004487579395815507,0.0261583130119751,0.02607576301228182,0.02560203543672869,1.0031657750400016,1.021727865216856
cf_rank_one,all_accepted,fixed_range,treatment_0,200,200,200,200,190,0.95,0.015411035007422448,-0.004715798529201062,0.15423565728555527,0.1585198787781258,0.1580945835409731,0.9729736010045341,0.9755910280479804
cf_rank_one,all_accepted,fixed_range,treatment_1,200,200,200,200,192,0.96,0.013856406460551024,-0.005394242406479946,0.12867074980746768,0.12252400143522876,0.12208880583834178,1.0501677083692729,1.053911117599439
cf_rank_one,all_accepted,fixed_rank,FEV10_0,200,200,200,200,193,0.965,0.012995191418367032,0.0038792291502937498,0.03251093694795492,0.032342765999859774,0.03218013233941877,1.0051996464401305,1.0102797777537706
cf_rank_one,all_accepted,fixed_rank,FEV10_1,200,200,200,200,188,0.94,0.01679285562374667,-0.004487579395815507,0.0261583130119751,0.02617042792646645,0.025810201055500005,0.9995370761790603,1.0134873787200087
cf_rank_one,all_accepted,fixed_rank,treatment_0,200,200,200,200,190,0.95,0.015411035007422448,-0.004715798529201062,0.15423565728555527,0.1585653434593988,0.15814654924820573,0.9726946249452538,0.9752704565402028
cf_rank_one,all_accepted,fixed_rank,treatment_1,200,200,200,200,192,0.96,0.013856406460551024,-0.005394242406479946,0.12867074980746768,0.12268470509796964,0.1223086818836418,1.0487921025258844,1.0520164866945294
cf_rank_one,interior,ambient,FEV10_0,200,200,9,9,9,1.0,0.0,-0.0005588177784350001,0.02089570198949644,0.03235020768007088,0.03232437029480935,0.6459217262573894,0.6464380218058532
cf_rank_one,interior,ambient,FEV10_1,200,200,9,9,8,0.8888888888888888,0.10475656017578484,0.005518658311278442,0.03084326747824526,0.030321997563711886,0.03039248146544991,1.0171911469037649,1.0148321555549125
cf_rank_one,interior,ambient,treatment_0,200,200,9,9,8,0.8888888888888888,0.10475656017578484,0.06821320202373182,0.19016281513855937,0.15782893480026206,0.16145637447019173,1.204866619541068,1.1777968863884496
cf_rank_one,interior,ambient,treatment_1,200,200,9,9,9,1.0,0.0,-0.062938754649055,0.09610483125117465,0.1330579103893068,0.1313538123949647,0.722278224345977,0.7316485871167507
cf_rank_one,interior,fixed_range,FEV10_0,200,200,9,9,9,1.0,0.0,-0.0005588177784350001,0.02089570198949644,0.03235020768007088,0.03232437029480935,0.6459217262573894,0.6464380218058532
cf_rank_one,interior,fixed_range,FEV10_1,200,200,9,9,8,0.8888888888888888,0.10475656017578484,0.005518658311278442,0.03084326747824526,0.030321997563711886,0.03039248146544991,1.0171911469037649,1.0148321555549125
cf_rank_one,interior,fixed_range,treatment_0,200,200,9,9,8,0.8888888888888888,0.10475656017578484,0.06821320202373182,0.19016281513855937,0.15782893480026206,0.16145637447019173,1.204866619541068,1.1777968863884496
cf_rank_one,interior,fixed_range,treatment_1,200,200,9,9,9,1.0,0.0,-0.062938754649055,0.09610483125117465,0.1330579103893068,0.1313538123949647,0.722278224345977,0.7316485871167507
cf_rank_one,interior,fixed_rank,FEV10_0,200,200,9,9,9,1.0,0.0,-0.0005588177784350001,0.02089570198949644,0.03235020768007088,0.03232437029480935,0.6459217262573894,0.6464380218058532
cf_rank_one,interior,fixed_rank,FEV10_1,200,200,9,9,8,0.8888888888888888,0.10475656017578484,0.005518658311278442,0.03084326747824526,0.030321997563711886,0.03039248146544991,1.0171911469037649,1.0148321555549125
cf_rank_one,interior,fixed_rank,treatment_0,200,200,9,9,8,0.8888888888888888,0.10475656017578484,0.06821320202373182,0.19016281513855937,0.15782893480026206,0.16145637447019173,1.204866619541068,1.1777968863884496
cf_rank_one,interior,fixed_rank,treatment_1,200,200,9,9,9,1.0,0.0,-0.062938754649055,0.09610483125117465,0.1330579103893068,0.1313538123949647,0.722278224345977,0.7316485871167507
cf_rank_one,boundary,ambient,FEV10_0,200,200,191,191,184,0.9633507853403142,0.013595897464935416,0.004088351780443273,0.03297978496651857,0.032347062011265894,0.03215707089489101,1.0195604458615843,1.0255842354024312
cf_rank_one,boundary,ambient,FEV10_1,200,200,191,191,180,0.9424083769633508,0.01685708762221099,-0.004959077507668102,0.02591617752839816,0.02686816664093305,0.02646635451343111,0.9645681402360906,0.9792122113095044
cf_rank_one,boundary,ambient,treatment_0,200,200,191,191,182,0.9528795811518325,0.015332285509035502,-0.008152243581433504,0.15208239607059434,0.15861394603355358,0.1581128862048212,0.9588210865040988,0.9618595910872508
cf_rank_one,boundary,ambient,treatment_1,200,200,191,191,183,0.9581151832460733,0.014495075690177057,-0.0026827208871963047,0.1295656806406484,0.12413845646988629,0.12405979326530085,1.0437191207712386,1.044380916898461
cf_rank_one,boundary,fixed_range,FEV10_0,200,200,191,191,184,0.9633507853403142,0.013595897464935416,0.004088351780443273,0.03297978496651857,0.032324171019428645,0.03213537002843791,1.02028246746671,1.0262768076836646
cf_rank_one,boundary,fixed_range,FEV10_1,200,200,191,191,180,0.9424083769633508,0.01685708762221099,-0.004959077507668102,0.02591617752839816,0.02587567866169087,0.02550986725324841,1.0015651325415185,1.0159275730883315
cf_rank_one,boundary,fixed_range,treatment_0,200,200,191,191,182,0.9528795811518325,0.015332285509035502,-0.008152243581433504,0.15208239607059434,0.15855243634776334,0.158053069646042,0.9591930567186124,0.962223615214694
