case,parameter,estimate
skin_baseline_K4_scc_first_cap730.5,log_cell3_0,-1.3628605281011863
skin_baseline_K4_scc_first_cap730.5,log_cell4_0,-1.342712347917249
skin_baseline_K4_scc_first_cap730.5,treatment_0,0.12544230288303665
skin_baseline_K4_scc_first_cap730.5,baseline_Se20_0,0.06791316762170196
skin_baseline_K4_scc_first_cap730.5,history_none_0,-1.2711584954420478
skin_baseline_K4_scc_first_cap730.5,history_SCC_only_0,-1.2210714496785504
skin_baseline_K4_scc_first_cap730.5,history_both_0,-0.059738502344337543
skin_baseline_K4_scc_first_cap730.5,AK_gt2_0,0.3234282014408357
skin_baseline_K4_scc_first_cap730.5,age10_0,-0.04994788908891511
skin_baseline_K4_scc_first_cap730.5,male_0,0.2626061245795427
skin_baseline_K4_scc_first_cap730.5,drink_gt2_0,0.14937938497647554
skin_baseline_K4_scc_first_cap730.5,sundamage_gt5_0,0.03783583871564893
skin_baseline_K4_scc_first_cap730.5,log_cell1_1,-3.5857098681289097
skin_baseline_K4_scc_first_cap730.5,log_cell2_1,-3.539677290350452
skin_baseline_K4_scc_first_cap730.5,log_cell3_1,-3.592563431436952
skin_baseline_K4_scc_first_cap730.5,log_cell4_1,-3.955209259682579
skin_baseline_K4_scc_first_cap730.5,treatment_1,0.24594050824755065
skin_baseline_K4_scc_first_cap730.5,baseline_Se20_1,-0.09556911271100677
skin_baseline_K4_scc_first_cap730.5,history_none_1,0.07760383659672797
skin_baseline_K4_scc_first_cap730.5,history_SCC_only_1,1.0072757479908478
skin_baseline_K4_scc_first_cap730.5,history_both_1,0.767984803711185
skin_baseline_K4_scc_first_cap730.5,AK_gt2_1,0.5988528547059848
skin_baseline_K4_scc_first_cap730.5,age10_1,0.15559840424019436
skin_baseline_K4_scc_first_cap730.5,male_1,0.5619359549427793
skin_baseline_K4_scc_first_cap730.5,drink_gt2_1,0.1468887496613729
skin_baseline_K4_scc_first_cap730.5,sundamage_gt5_1,0.48771479339628393
skin_baseline_K4_scc_first_cap730.5,sigma0,0.0
skin_baseline_K4_scc_first_cap730.5,sigma1,0.0025887553542369443
skin_baseline_K4_scc_first_cap730.5,nu0,0.9532002254523206
skin_baseline_K4_scc_first_cap730.5,nu1,1.8757072238420247
skin_baseline_K4_scc_first_cap730.5,theta,0.3057363670625816
skin_baseline_K4_bcc_first_cap1461,log_cell1_0,-1.3916955871065972
skin_baseline_K4_bcc_first_cap1461,log_cell2_0,-1.4658783920840588
skin_baseline_K4_bcc_first_cap1461,log_cell3_0,-1.7033199642225312
skin_baseline_K4_bcc_first_cap1461,log_cell4_0,-1.6708802918608687
skin_baseline_K4_bcc_first_cap1461,treatment_0,0.12041683535818239
skin_baseline_K4_bcc_first_cap1461,baseline_Se20_0,0.06023722430865307
skin_baseline_K4_bcc_first_cap1461,history_none_0,-1.5844464785230277
skin_baseline_K4_bcc_first_cap1461,history_SCC_only_0,-1.2696651209964025
skin_baseline_K4_bcc_first_cap1461,history_both_0,-0.05844171626336205
skin_baseline_K4_bcc_first_cap1461,AK_gt2_0,0.31419432679441117
skin_baseline_K4_bcc_first_cap1461,age10_0,-0.0377509102740029
skin_baseline_K4_bcc_first_cap1461,male_0,0.35395187660717997
skin_baseline_K4_bcc_first_cap1461,drink_gt2_0,0.14884053489934965
skin_baseline_K4_bcc_first_cap1461,sundamage_gt5_0,0.03073966980875104
skin_baseline_K4_bcc_first_cap1461,log_cell1_1,-3.7371783182107845
skin_baseline_K4_bcc_first_cap1461,log_cell2_1,-3.895782412437772
skin_baseline_K4_bcc_first_cap1461,log_cell3_1,-4.041918839261141
skin_baseline_K4_bcc_first_cap1461,log_cell4_1,-4.027838117764244
skin_baseline_K4_bcc_first_cap1461,treatment_1,0.21657695559221413
skin_baseline_K4_bcc_first_cap1461,baseline_Se20_1,-0.10979324073295452
skin_baseline_K4_bcc_first_cap1461,history_none_1,0.0014150471653136044
skin_baseline_K4_bcc_first_cap1461,history_SCC_only_1,0.9197828414174266
skin_baseline_K4_bcc_first_cap1461,history_both_1,0.7701587995108444
skin_baseline_K4_bcc_first_cap1461,AK_gt2_1,0.6506221379496527
skin_baseline_K4_bcc_first_cap1461,age10_1,0.210692329387902
skin_baseline_K4_bcc_first_cap1461,male_1,0.68298393387945
skin_baseline_K4_bcc_first_cap1461,drink_gt2_1,0.11250605330532963
skin_baseline_K4_bcc_first_cap1461,sundamage_gt5_1,0.5024275673440939
skin_baseline_K4_bcc_first_cap1461,sigma0,0.002358232280736488
skin_baseline_K4_bcc_first_cap1461,sigma1,0.0
skin_baseline_K4_bcc_first_cap1461,nu0,0.9397144260177305
skin_baseline_K4_bcc_first_cap1461,nu1,2.2848548419763017
skin_baseline_K4_bcc_first_cap1461,theta,0.3691436602474362
skin_measured_K2_bcc_first_cap730.5,log_cell1_0,-1.2387897732777349
skin_measured_K2_bcc_first_cap730.5,log_cell2_0,-1.3086268911402263
skin_measured_K2_bcc_first_cap730.5,selenium_change_0,0.05227956821692892
skin_measured_K2_bcc_first_cap730.5,baseline_Se20_0,0.07559514730382948
skin_measured_K2_bcc_first_cap730.5,history_none_0,-1.26559899059519
skin_measured_K2_bcc_first_cap730.5,history_SCC_only_0,-1.2185361887270647
skin_measured_K2_bcc_first_cap730.5,history_both_0,-0.06006386190848914
skin_measured_K2_bcc_first_cap730.5,AK_gt2_0,0.32159880744307723
skin_measured_K2_bcc_first_cap730.5,age10_0,-0.050195821538230344
skin_measured_K2_bcc_first_cap730.5,male_0,0.26304502872234004
skin_measured_K2_bcc_first_cap730.5,drink_gt2_0,0.1578301759024469
skin_measured_K2_bcc_first_cap730.5,sundamage_gt5_0,0.040512875707765246
skin_measured_K2_bcc_first_cap730.5,log_cell1_1,-3.5264898012876102
skin_measured_K2_bcc_first_cap730.5,log_cell2_1,-3.711301101803554
skin_measured_K2_bcc_first_cap730.5,selenium_change_1,0.22701195984845343
skin_measured_K2_bcc_first_cap730.5,baseline_Se20_1,-0.057972490679748655
skin_measured_K2_bcc_first_cap730.5,history_none_1,0.12332818635461804
skin_measured_K2_bcc_first_cap730.5,history_SCC_only_1,1.0099711908169238
skin_measured_K2_bcc_first_cap730.5,history_both_1,0.7629161714784337
skin_measured_K2_bcc_first_cap730.5,AK_gt2_1,0.5924578889309853
skin_measured_K2_bcc_first_cap730.5,age10_1,0.15367462220600464
skin_measured_K2_bcc_first_cap730.5,male_1,0.6048291950722673
skin_measured_K2_bcc_first_cap730.5,drink_gt2_1,0.1400932477392913
skin_measured_K2_bcc_first_cap730.5,sundamage_gt5_1,0.49367895167383363
skin_measured_K2_bcc_first_cap730.5,sigma0,0.0
skin_measured_K2_bcc_first_cap730.5,sigma1,0.0
skin_measured_K2_bcc_first_cap730.5,nu0,0.9448250776933544
skin_measured_K2_bcc_first_cap730.5,nu1,1.8240048943327525
skin_measured_K2_bcc_first_cap730.5,theta,0.2946294730889747
skin_measured_K4_bcc_first_cap730.5,log_cell1_0,-1.260345303896803
skin_measured_K4_bcc_first_cap730.5,log_cell2_0,-1.2073558284636645
skin_measured_K4_bcc_first_cap730.5,log_cell3_0,-1.312274078072099
skin_measured_K4_bcc_first_cap730.5,log_cell4_0,-1.299591135572872
skin_measured_K4_bcc_first_cap730.5,selenium_change_0,0.048615343168826104
skin_measured_K4_bcc_first_cap730.5,baseline_Se20_0,0.07538577074432205
skin_measured_K4_bcc_first_cap730.5,history_none_0,-1.2702927724782498
skin_measured_K4_bcc_first_cap730.5,history_SCC_only_0,-1.2225965994004615
skin_measured_K4_bcc_first_cap730.5,history_both_0,-0.060454613418218735
skin_measured_K4_bcc_first_cap730.5,AK_gt2_0,0.3227464644191239
skin_measured_K4_bcc_first_cap730.5,age10_0,-0.05041527170913141
skin_measured_K4_bcc_first_cap730.5,male_0,0.2632024412976237
skin_measured_K4_bcc_first_cap730.5,drink_gt2_0,0.15837961588640798
skin_measured_K4_bcc_first_cap730.5,sundamage_gt5_0,0.04021823536289563
skin_measured_K4_bcc_first_cap730.5,log_cell1_1,-3.534898627011098
skin_measured_K4_bcc_first_cap730.5,log_cell2_1,-3.494880464267795
skin_measured_K4_bcc_first_cap730.5,log_cell3_1,-3.5600371233352894
skin_measured_K4_bcc_first_cap730.5,log_cell4_1,-3.92795734208563
skin_measured_K4_bcc_first_cap730.5,selenium_change_1,0.22784107245828308
skin_measured_K4_bcc_first_cap730.5,baseline_Se20_1,-0.05778612944963928
skin_measured_K4_bcc_first_cap730.5,history_none_1,0.12215275029792616
skin_measured_K4_bcc_first_cap730.5,history_SCC_only_1,1.008164617254783
skin_measured_K4_bcc_first_cap730.5,history_both_1,0.7591690661835232
skin_measured_K4_bcc_first_cap730.5,AK_gt2_1,0.5924143188993019
skin_measured_K4_bcc_first_cap730.5,age10_1,0.15256126954591642
skin_measured_K4_bcc_first_cap730.5,male_1,0.6018802753847458
skin_measured_K4_bcc_first_cap730.5,drink_gt2_1,0.13941756293125465
skin_measured_K4_bcc_first_cap730.5,sundamage_gt5_1,0.49338107787957547
skin_measured_K4_bcc_first_cap730.5,sigma0,0.0
skin_measured_K4_bcc_first_cap730.5,sigma1,0.0
skin_measured_K4_bcc_first_cap730.5,nu0,0.9617771806421997
skin_measured_K4_bcc_first_cap730.5,nu1,1.8040579325652448
skin_measured_K4_bcc_first_cap730.5,theta,0.29649902143207213
skin_measured_K8_bcc_first_cap730.5,log_cell1_0,-1.4010751889323951
skin_measured_K8_bcc_first_cap730.5,log_cell2_0,-1.1030906027960514
skin_measured_K8_bcc_first_cap730.5,log_cell3_0,-1.110263538234158
skin_measured_K8_bcc_first_cap730.5,log_cell4_0,-1.3381562436898222
skin_measured_K8_bcc_first_cap730.5,log_cell5_0,-1.2706478399442496
skin_measured_K8_bcc_first_cap730.5,log_cell6_0,-1.3591274720478992
skin_measured_K8_bcc_first_cap730.5,log_cell7_0,-1.3694181002931989
skin_measured_K8_bcc_first_cap730.5,log_cell8_0,-1.2168638318726022
skin_measured_K8_bcc_first_cap730.5,selenium_change_0,0.041264262990230574
