case,comparison,parameter,n,risk_difference,MCSE
cf_n2564,fallback - projected_initial,treatment_1,100,-0.003167451775320615,0.0007423220357596164
cf_n2564,fallback - projected_initial,FEV10_1,100,-0.0007950975335644527,9.851324477283953e-05
cf_n2564,fallback - projected_initial,nu0,100,-0.005396684872932374,0.0009388160307687912
cf_n2564,fallback - projected_initial,nu1,100,-0.0007021524951857101,0.00014772190802936363
cf_n2564,fallback - projected_initial,theta,100,0.0013514236289576362,0.0002233121497225169
cf_n2564,fallback - projected_initial,cumulative_relative_0,100,-0.006756807061994421,0.0009092298610531053
cf_n2564,fallback - projected_initial,cumulative_relative_1,100,-4.681306023791499,0.18418113764461547
cf_n2564,fallback - projected_initial,baseline_relative_ISE_0,100,-0.01978819250522649,0.0012324594260714893
cf_n2564,fallback - projected_initial,baseline_relative_ISE_1,100,-6.177474802453417,0.2764969867248256
cf_n2564,fallback - projected_initial,prediction_mse,100,-0.07719463572552372,0.0004912493352810691
cf_n2564,fallback - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_long4,coupled - initial,treatment_0,100,-0.0003151306161962756,0.00027937348593898076
cf_long4,coupled - initial,FEV10_0,100,-3.551370044548315e-05,1.826632569446619e-05
cf_long4,coupled - initial,treatment_1,100,-0.0033896625291729605,0.0009048357820275275
cf_long4,coupled - initial,FEV10_1,100,-0.0007356886518028435,0.00011821518875342999
cf_long4,coupled - initial,nu0,100,-0.0008572107549771222,0.0005750321643129888
cf_long4,coupled - initial,nu1,100,-0.013375084511221125,0.00031912123618070337
cf_long4,coupled - initial,theta,100,0.0007017972174989613,0.00010244208905467597
cf_long4,coupled - initial,cumulative_relative_0,100,0.0039797691116902675,0.0004930027288882494
cf_long4,coupled - initial,cumulative_relative_1,100,-0.5183239842012971,0.024357816531207242
cf_long4,coupled - initial,baseline_relative_ISE_0,100,0.002671054699195063,0.0006241215415138463
cf_long4,coupled - initial,baseline_relative_ISE_1,100,-0.5981248200334247,0.0285628770777336
cf_long4,coupled - initial,prediction_mse,100,-0.07926588755138755,0.0009360291211127795
cf_long4,coupled - initial,negative_prediction_fraction,100,0.0,0.0
cf_long4,coupled - projected_initial,treatment_0,100,-0.0003151306161962756,0.00027937348593898076
cf_long4,coupled - projected_initial,FEV10_0,100,-3.551370044548315e-05,1.826632569446619e-05
cf_long4,coupled - projected_initial,treatment_1,100,-0.0033896625291729605,0.0009048357820275275
cf_long4,coupled - projected_initial,FEV10_1,100,-0.0007356886518028435,0.00011821518875342999
cf_long4,coupled - projected_initial,nu0,100,-0.000857210754977123,0.0005750321643129887
cf_long4,coupled - projected_initial,nu1,100,-0.013375084511221125,0.0003191212361807035
cf_long4,coupled - projected_initial,theta,100,0.0007017972174989616,0.00010244208905467594
cf_long4,coupled - projected_initial,cumulative_relative_0,100,0.0039797691116902675,0.0004930027288882494
cf_long4,coupled - projected_initial,cumulative_relative_1,100,-0.5183239842012971,0.024357816531207242
cf_long4,coupled - projected_initial,baseline_relative_ISE_0,100,0.002671054699195063,0.0006241215415138463
cf_long4,coupled - projected_initial,baseline_relative_ISE_1,100,-0.5981248200334247,0.0285628770777336
cf_long4,coupled - projected_initial,prediction_mse,100,-0.07926588755138755,0.0009360291211127795
cf_long4,coupled - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_long4,fallback - projected_initial,treatment_0,100,-0.0003151306161962756,0.00027937348593898076
