case,method,denominator,parameter,n,mean,mean_MCSE,truth,bias,bias_MCSE,RMSE,RMSE_MCSE,MSE,MSE_MCSE
skin_law_mixture,projected_initial,coupled_accepted,sigma1,100,0.0009042149316490318,0.00015170273802217991,0.003,-0.002095785068350968,0.0001517027380221799,0.0025827646823398495,6.40025196992825e-05,6.670673404342063e-06,3.3060689492013467e-07
skin_law_mixture,projected_initial,coupled_accepted,nu0,100,0.4704403020999344,0.003659122063900104,0.95,-0.4795596979000655,0.003659122063900104,0.4809397385365194,0.003647691694917649,0.2313030321035756,0.0035086397800310545
skin_law_mixture,projected_initial,coupled_accepted,nu1,100,0.3714245780952779,0.004818783713767429,1.85,-1.4785754219047227,0.00481878371376743,1.4793526034155124,0.004825656741594217,2.188484125232254,0.014277695727734047
skin_law_mixture,projected_initial,coupled_accepted,theta,100,0.052356722603664314,0.0022129954106170522,0.3,-0.24764327739633568,0.0022129954106170522,0.24862025331748872,0.002155666987829929,0.061812030359652256,0.0010718849451648498
skin_law_mixture,projected_initial,coupled_accepted,cumulative_relative_0,100,1.100098520749615,0.006111985831112924,1.0,0.10009852074961512,0.006111985831112924,0.11712384285632842,0.00591682092846819,0.013717994565433912,0.001386001609269887
skin_law_mixture,projected_initial,coupled_accepted,baseline_relative_ISE_0,100,0.019915230971824845,0.0014284153642504373,,,,,,,
skin_law_mixture,projected_initial,coupled_accepted,cumulative_relative_1,100,1.2100408981616528,0.010411407077573522,1.0,0.2100408981616527,0.010411407077573522,0.23419761150941223,0.010200485917609456,0.054848521236713584,0.004777858876279059
skin_law_mixture,projected_initial,coupled_accepted,baseline_relative_ISE_1,100,0.06980375275242469,0.004843333442159831,,,,,,,
skin_law_mixture,projected_initial,coupled_accepted,prediction_mse,100,0.7622796149602564,0.0051755407764246366,,,,,,,
skin_law_mixture,projected_initial,coupled_accepted,negative_prediction_fraction,100,0.0,0.0,,,,,,,
skin_law_mixture,coupled,coupled_accepted,treatment_0,100,0.10962757313178294,0.008428855615142004,0.125,-0.015372426868217064,0.008428855615142006,0.08526327813853314,0.005597235928001272,0.007269826598928863,0.0009544773674723262
skin_law_mixture,coupled,coupled_accepted,age10_0,100,-0.04203900714201163,0.0032445955302739375,-0.05,0.007960992857988377,0.0032445955302739375,0.033250413871668265,0.002443427068870104,0.0011055900226372296,0.00016248992261033645
skin_law_mixture,coupled,coupled_accepted,treatment_1,100,0.24383775999086058,0.010789030939418846,0.246,-0.0021622400091393986,0.010789030939418846,0.10737127620746201,0.00851322974868478,0.011528590954419098,0.0018281526855272318
skin_law_mixture,coupled,coupled_accepted,age10_1,100,0.14511558822898624,0.005384931291551055,0.156,-0.010884411771013758,0.005384931291551055,0.05467377283541742,0.004975645056679924,0.0029892214360588277,0.0005440745750771715
skin_law_mixture,coupled,coupled_accepted,sigma0,100,0.0020672022949090774,0.00044819040890739644,0.002,6.720229490907741e-05,0.00044819040890739644,0.004459944592644889,0.000741416884724435,1.989110576946239e-05,6.613356451844726e-06
skin_law_mixture,coupled,coupled_accepted,sigma1,100,0.005055570912806538,0.0009543202773315893,0.003,0.002055570912806538,0.0009543202773315893,0.009715315937141427,0.0012214760391645364,9.438736375847422e-05,2.3734051260263212e-05
skin_law_mixture,coupled,coupled_accepted,nu0,100,0.849928519410959,0.012172156723240006,0.95,-0.1000714805890407,0.012172156723240004,0.15710595073866335,0.009930162314374338,0.02468227975749931,0.003120175182778052
skin_law_mixture,coupled,coupled_accepted,nu1,100,1.9299441046757437,0.04168716128448039,1.85,0.07994410467574364,0.04168716128448039,0.422415887547185,0.02740904532359992,0.17843518205227607,0.02315603241437896
skin_law_mixture,coupled,coupled_accepted,theta,100,0.3233922203538772,0.012166973476329623,0.3,0.023392220353877214,0.012166973476329623,0.12329916904375916,0.009188710467689386,0.015202685086881497,0.002265920730499586
skin_law_mixture,coupled,coupled_accepted,cumulative_relative_0,100,1.1119226187701365,0.006217019075022333,1.0,0.1119226187701366,0.006217019075022333,0.12787945059353867,0.0060392232519545985,0.016353153884105295,0.001544585102943356
skin_law_mixture,coupled,coupled_accepted,baseline_relative_ISE_0,100,0.02269350507378641,0.0015807838494100105,,,,,,,
skin_law_mixture,coupled,coupled_accepted,cumulative_relative_1,100,1.133202291738374,0.009841707290253479,1.0,0.13320229173837375,0.009841707290253477,0.16532365699037344,0.009758776859243227,0.027331911560670653,0.003226713356246242
skin_law_mixture,coupled,coupled_accepted,baseline_relative_ISE_1,100,0.036714317806126134,0.003229383851092635,,,,,,,
skin_law_mixture,coupled,coupled_accepted,prediction_mse,100,0.7150619085657204,0.004680658482178087,,,,,,,
skin_law_mixture,coupled,coupled_accepted,negative_prediction_fraction,100,0.0,0.0,,,,,,,
skin_dynamic,initial,certified_initial,treatment_0,100,0.13730145812311398,0.006094826378338165,0.125,0.01230145812311396,0.006094826378338164,0.06187786212840025,0.004261631177634113,0.00382886982158131,0.0005274012529034713
skin_dynamic,initial,certified_initial,age10_0,100,-0.05286897266118136,0.0030568905374851246,-0.05,-0.0028689726611813653,0.003056890537485124,0.030550685756444963,0.002559428406376894,0.0009333444001890491,0.0001563845859186784
skin_dynamic,initial,certified_initial,measured_z_0,100,0.2585172549298647,0.0049167992904143275,0.25,0.008517254929864729,0.0049167992904143275,0.04965742887524454,0.0030166878257061576,0.00246586024249997,0.00029960192228763925
skin_dynamic,initial,certified_initial,treatment_1,100,0.26088066313880054,0.009087743102913454,0.246,0.014880663138800564,0.009087743102913454,0.0916381718019353,0.005477424904706206,0.00839755453120101,0.0010038824088993328
skin_dynamic,initial,certified_initial,age10_1,100,0.14693918047120114,0.004959546372561115,0.156,-0.009060819528798884,0.004959546372561115,0.05017181850870358,0.004343110390354427,0.002517211372470291,0.0004358034925362541
skin_dynamic,initial,certified_initial,measured_z_1,100,-0.19821631123365754,0.008114781631495867,-0.2,0.0017836887663424338,0.008114781631495867,0.08076075753343694,0.005086779280678878,0.00652229995737459,0.0008216242962260352
skin_dynamic,initial,certified_initial,sigma0,100,-4.642709683703094e-05,0.00020669572097883524,0.002,-0.0020464270968370314,0.00020669572097883524,0.0029012846893564114,0.00011291033133516913,8.417452848693929e-06,6.551700311457713e-07
skin_dynamic,initial,certified_initial,sigma1,100,0.0002856736897159462,0.00020271839291863364,0.003,-0.0027143263102840536,0.00020271839291863364,0.0033817077423432215,0.00012507068864101538,1.1435947254624088e-05,8.459050322350403e-07
